order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
31,125,John Smith,266,Children's Books,Books,Card,20,3179,2021-11-11 13:15:31,Australia,Melbourne,www.tatacliq.com,43475,N,Invalid CVV
32,187,Trinity,290,Hats,Clothing,Card,41,3940,2021-06-12 23:15:50,India,Indore,www.ebay.in,95156,N,Timeout
33,174,Joe Smith,273,Home Theater System,Electronics,UPI,47,4726,2021-10-13 02:02:04,India,Indore,www.ebay.in,52958,N,Invalid CVV
34,179,Mary Jane,261,Camera,Electronics,Wallet,1,7380,2021-11-27 17:37:07,India,Indore,www.tatacliq.com,13390,Y,None
35,109,Mary Jane,233,Eraser,Stationery,Wallet,7,6730,2021-01-05 01:38:16,India,Indore,www.flipkart.com,12684,N,Invalid CVV
36,121,Neo,291,Tape,Stationery,Card,23,8904,2021-03-20 22:10:08,UK,Manchester,www.ebay.in,34212,N,Timeout
37,100,Neo,242,Smartwatch,Electronics,UPI,29,3527,2021-11-01 07:02:20,Australia,Melbourne,www.amazon.com,47994,Y,None
38,200,Neo,212,VR Headset,Electronics,Internet Banking,1,5857,2021-04-22 18:20:01,UK,Manchester,www.ebay.in,37961,N,Invalid CVV
39,143,Joe Smith,298,Whiteboard Markers,Stationery,Internet Banking,2,4269,2021-01-18 03:41:24,Germany,Munich,www.flipkart.com,57578,N,Timeout
40,171,John Smith,242,Sticky Notes,Stationery,Internet Banking,17,801,2021-10-24 23:13:32,UK,London,www.ebay.in,34152,Y,None
41,176,John Smith,208,Children's Books,Books,Wallet,46,6677,2021-06-29 01:52:18,UK,Manchester,www.flipkart.com,34405,Y,None
42,105,Joe Smith,223,Letter Opener,Stationery,UPI,7,7141,2021-07-29 10:28:59,USA,Chicago,www.amazon.com,44476,Y,None
43,126,Mary Jane,243,Sweaters,Clothing,Wallet,19,3970,2021-07-10 00:35:06,India,Indore,www.flipkart.com,50627,Y,None
44,115,Mary Jane,221,Blender,Home & Kitchen,Internet Banking,36,5488,2021-02-20 03:56:56,Germany,Munich,www.tatacliq.com,74821,Y,None
45,178,Unknown Customer,231,Paper Cutter,Stationery,Internet Banking,21,5227,2021-05-19 17:20:15,Germany,Munich,www.flipkart.com,57930,N,Invalid CVV
46,104,Mary Jane,212,Hoodies,Clothing,Internet Banking,19,4241,2021-04-05 06:26:07,UK,Oxford,www.amazon.com,22775,N,Timeout
47,174,John Smith,225,Paper Cutter,Stationery,Wallet,4,6760,2021-05-14 02:10:37,UK,Oxford,www.tatacliq.com,85188,N,Invalid CVV
48,101,Trinity,261,USB Flash Drive,Electronics,Card,14,4494,2021-10-20 03:59:51,Australia,Brisbane,www.tatacliq.com,78440,N,Timeout
49,141,Mary Jane,299,Stapler,Stationery,Internet Banking,1,5889,2021-01-17 15:51:04,UK,London,www.ebay.in,18864,Y,None
50,152,Unknown Customer,300,Sportswear,Clothing,UPI,11,7335,2021-04-10 21:41:07,Australia,Melbourne,www.ebay.in,63168,Y,None
51,109,John Smith,291,Smartwatch,Electronics,UPI,36,1488,2021-04-01 04:47:02,Germany,Berlin,www.amazon.com,97278,Y,None
52,100,John Smith,257,Scissors,Stationery,UPI,21,8502,2021-11-10 06:13:08,India,Bengaluru,www.ebay.in,67180,N,Insufficient Funds
53,157,Joe Smith,209,Highlighters,Stationery,Wallet,14,995061,2021-02-02 15:53:55,USA,New York,www.tatacliq.com,74813,Y,None
54,151,Mary Jane,297,Projector,Electronics,Internet Banking,45,7355,2021-10-04 03:29:47,USA,Chicago,www.tatacliq.com,84295,N,Timeout
55,196,Trinity,276,Laptop,Electronics,Card,8,536,2021-09-19 12:21:52,Germany,Berlin,www.amazon.com,46611,Y,None
56,198,Mary Jane,298,T-Shirts,Clothing,UPI,25,184,2021-01-25 16:53:49,USA,Chicago,www.ebay.in,38465,N,Timeout
57,183,Trinity,247,Underwear,Clothing,Card,39,5446,2021-07-28 16:40:42,Australia,Melbourne,www.flipkart.com,18228,Y,None
58,176,Neo,273,Smartwatch,Electronics,Internet Banking,8,2535,2021-10-22 20:58:41,Germany,Hamburg,www.ebay.in,95725,Y,None
59,186,Neo,275,Travel Books,Books,Wallet,19,3619,2021-11-11 11:26:13,UK,London,www.flipkart.com,14729,Y,None
60,105,Neo,229,Nightwear,Clothing,Wallet,45,984600,2021-05-02 06:22:17,UK,Oxford,www.flipkart.com,61456,Y,None
61,101,John Smith,256,Paper Clips,Stationery,Card,46,3834,2021-09-23 18:42:01,USA,New York,www.ebay.in,87293,N,Insufficient Funds
62,151,Joe Smith,223,Horror,Books,UPI,13,7183,2021-07-14 14:10:40,UK,London,www.ebay.in,38069,N,Invalid CVV
63,193,Neo,277,USB Flash Drive,Electronics,Internet Banking,39,5322,2021-06-06 22:07:28,India,Indore,www.amazon.com,73912,Y,None
64,191,John Smith,257,Graphic Novels,Books,UPI,14,4106,2021-12-07 19:58:25,Australia,Melbourne,www.ebay.in,20928,Y,None
65,141,John Smith,240,Underwear,Clothing,Wallet,33,6821,2021-04-26 10:07:13,USA,New York,www.amazon.com,56405,Y,None
66,193,Neo,264,Pressure Cooker,Home & Kitchen,Card,38,5559,2021-11-22 20:25:15,USA,New York,www.amazon.com,43096,Y,None
67,159,Trinity,283,Coats,Clothing,UPI,5,243,2021-06-11 22:28:18,USA,Chicago,www.amazon.com,23545,Y,None
68,131,Trinity,206,Food Storage Containers,Home & Kitchen,UPI,28,3929,2021-02-25 16:01:35,USA,Chicago,www.amazon.com,78519,N,Timeout
69,110,Trinity,252,Smart TV,Electronics,UPI,33,9873,2021-07-03 06:12:15,UK,Oxford,www.amazon.com,40820,N,Timeout
70,150,Neo,271,Thrillers,Books,Internet Banking,8,1517,2021-06-22 12:37:45,India,Indore,www.ebay.in,70384,N,Insufficient Funds
71,168,Mary Jane,274,Jeans,Clothing,Card,49,2831,2021-05-21 04:53:12,India,Mumbai,www.ebay.in,68612,Y,None
72,141,Joe Smith,239,Memoir,Books,UPI,2,9058,2021-07-16 20:39:18,Australia,Melbourne,www.flipkart.com,28998,N,Timeout
73,108,Trinity,221,Markers,Stationery,Internet Banking,41,5665,2021-11-24 15:52:20,India,Indore,www.flipkart.com,77059,N,Insufficient Funds
74,104,John Smith,218,Shoes,Clothing,Card,32,4781,2021-10-04 09:03:01,Germany,Munich,www.ebay.in,67866,N,Invalid CVV
75,143,Trinity,205,Projector,Electronics,Wallet,5,6515,2021-07-20 04:42:35,UK,Oxford,www.flipkart.com,48262,Y,None
76,141,Trinity,236,Oven Mitts,Home & Kitchen,UPI,38,6957,2021-06-07 18:07:28,Australia,Sydney,www.amazon.com,14930,Y,None
77,137,Mary Jane,242,Drone,Electronics,Wallet,28,2432,2021-04-06 11:41:31,UK,London,www.ebay.in,80859,N,Invalid CVV
78,135,Mary Jane,257,Non-fiction,Books,Wallet,25,6252,2021-03-15 06:53:32,Germany,Munich,www.flipkart.com,62655,Y,None
79,198,John Smith,241,Classics,Books,UPI,25,5484,2021-07-10 14:19:01,Germany,Munich,www.tatacliq.com,67360,N,Invalid CVV
80,139,Mary Jane,210,Nightwear,Clothing,Wallet,29,6539,2021-01-01 11:24:15,UK,London,www.ebay.in,30237,N,Invalid CVV
81,104,Joe Smith,215,Monitor,Electronics,Internet Banking,19,7109,2021-01-03 14:24:01,Germany,Berlin,www.amazon.com,97044,N,Insufficient Funds
82,121,John Smith,276,Bluetooth Speaker,Electronics,UPI,26,6735,2021-05-20 21:43:37,Australia,Brisbane,www.amazon.com,49610,N,Invalid CVV
83,187,Trinity,267,Gaming Console,Electronics,Card,4,5074,2021-04-09 12:03:03,USA,Chicago,www.flipkart.com,51289,Y,None
84,181,Neo,224,Binder,Stationery,Wallet,19,4544,2021-09-05 13:02:44,USA,Chicago,www.flipkart.com,88629,N,Timeout
85,180,Trinity,206,Mixing Bowls,Home & Kitchen,Wallet,6,5678,2021-11-11 15:34:11,India,Mumbai,www.tatacliq.com,60649,Y,None
86,128,Trinity,221,Cookbooks,Books,Card,11,9471,2021-09-29 16:21:39,UK,Manchester,www.amazon.com,81721,N,Invalid CVV
87,200,John Smith,283,VR Headset,Electronics,UPI,45,6924,2021-06-14 05:06:06,Australia,Brisbane,www.tatacliq.com,23925,Y,None
88,156,John Smith,270,Headphones,Electronics,Invalid,42,2395,2021-04-09 12:16:31,India,Indore,www.flipkart.com,20558,Y,None
89,134,Joe Smith,275,Coffee Maker,Home & Kitchen,Card,32,4190,2021-05-09 04:26:30,India,Bengaluru,www.tatacliq.com,45356,Y,None
90,150,Joe Smith,264,Notebook,Stationery,UPI,48,527,2021-07-16 11:47:31,India,Mumbai,www.ebay.in,19419,N,Timeout
91,158,Trinity,255,Self-Help,Books,Wallet,35,2840,2021-10-05 08:12:28,USA,New York,www.flipkart.com,59918,Y,None
92,197,Joe Smith,223,Headphones,Electronics,Card,28,2465,2021-10-23 03:15:25,Australia,Sydney,www.tatacliq.com,64178,N,Insufficient Funds
93,172,Trinity,243,Non-fiction,Books,UPI,2,4979,2021-12-06 14:52:50,UK,London,www.ebay.in,45190,N,Invalid CVV
94,189,Neo,281,Comics,Books,UPI,50,2057,2021-07-09 16:40:32,UK,Manchester,www.ebay.in,39314,Y,None
95,174,John Smith,269,Dresses,Clothing,Internet Banking,4,2942,2021-05-27 02:18:58,Australia,Sydney,www.amazon.com,41633,N,Invalid CVV
96,168,Joe Smith,266,Nightwear,Clothing,Internet Banking,36,8851,2021-08-23 00:55:48,Australia,Sydney,www.tatacliq.com,78875,Y,None
97,102,Joe Smith,211,Sweaters,Clothing,Wallet,41,872,2021-09-25 19:42:21,UK,Manchester,www.ebay.in,70152,Y,None
98,186,John Smith,242,Camera,Electronics,Internet Banking,41,9861,2021-04-28 09:47:44,Australia,Melbourne,www.amazon.com,48700,Y,None
99,113,Trinity,272,Projector,Electronics,Internet Banking,13,9450,2021-12-20 16:43:06,USA,Chicago,www.flipkart.com,44116,Y,None
100,177,Mary Jane,247,Chopping Board,Home & Kitchen,UPI,25,1411,2021-07-14 09:07:33,Australia,Sydney,www.flipkart.com,79566,N,Insufficient Funds
101,112,John Smith,267,Glue Stick,Stationery,Internet Banking,48,8154,2021-02-05 05:23:55,Germany,Hamburg,www.ebay.in,66007,N,Timeout
102,190,Trinity,209,Glue Stick,Stationery,Internet Banking,36,5803,2021-03-14 08:46:06,Germany,Berlin,www.tatacliq.com,34539,Y,None
103,150,Neo,260,File Folder,Stationery,Card,5,9453,2021-06-02 07:32:47,Germany,Berlin,www.tatacliq.com,90020,Y,None
104,197,John Smith,291,Blender,Home & Kitchen,Wallet,45,406889,2021-03-14 22:50:53,UK,Manchester,www.flipkart.com,77902,N,Invalid CVV
105,104,Mary Jane,294,Whiteboard Markers,Stationery,Internet Banking,2,8006,2021-01-09 21:19:13,Australia,Melbourne,www.ebay.in,49467,N,Timeout
106,114,Trinity,208,Fitness Tracker,Electronics,Card,49,3585,2021-01-31 08:21:36,Australia,Brisbane,www.flipkart.com,15336,N,Insufficient Funds
107,131,Unknown Customer,227,Tablet,Electronics,Internet Banking,18,3331,2021-07-19 08:18:54,Australia,Brisbane,www.amazon.com,18261,N,Timeout
108,148,Trinity,286,Laptop,Electronics,UPI,22,5542,2021-07-29 10:18:57,UK,Manchester,www.ebay.in,13644,N,Insufficient Funds
109,200,Mary Jane,300,Classics,Books,Wallet,30,6387,2021-08-16 08:32:08,Germany,Berlin,www.tatacliq.com,25956,N,Invalid CVV
110,171,Mary Jane,269,Fantasy,Books,Card,23,7128,2021-08-21 19:54:18,USA,Boston,www.ebay.in,87224,Y,None
111,152,Trinity,218,Sticky Notes,Stationery,UPI,18,6253,2021-10-04 08:37:45,USA,Chicago,www.flipkart.com,33828,N,Invalid CVV
112,152,Trinity,238,Fantasy,Books,Wallet,23,8627,2021-05-29 21:34:53,Germany,Munich,www.flipkart.com,85491,N,Timeout
113,101,Neo,260,Cutlery,Home & Kitchen,Wallet,17,4579,2021-12-14 23:08:35,UK,Manchester,www.flipkart.com,36754,Y,None
114,179,Mary Jane,266,Letter Opener,Stationery,Internet Banking,49,4500,2021-11-05 00:55:35,Germany,Munich,www.ebay.in,83562,Y,None
115,193,Neo,266,Oven Mitts,Home & Kitchen,Card,21,4860,2021-10-08 11:55:30,Germany,Berlin,www.ebay.in,86010,N,Invalid CVV
116,153,John Smith,299,Socks,Clothing,Internet Banking,14,8312,2021-06-11 15:18:00,UK,London,www.flipkart.com,26115,N,Insufficient Funds
117,126,Mary Jane,256,Smartphone,Electronics,Internet Banking,33,5147,2021-07-28 04:15:54,India,Indore,www.amazon.com,45790,Y,None
118,181,Mary Jane,202,Portable Charger,Electronics,Internet Banking,46,4364,2021-01-28 16:42:55,India,Indore,www.flipkart.com,93747,Y,None
119,108,John Smith,286,Plates,Home & Kitchen,Card,44,5454,2021-04-07 05:24:08,USA,New York,www.ebay.in,72525,N,Timeout
120,194,Joe Smith,211,Kitchen Scale,Home & Kitchen,Card,35,7568,2021-05-01 15:08:47,Australia,Sydney,www.ebay.in,72729,Y,None
121,110,Trinity,271,Stapler,Stationery,Internet Banking,36,130,2021-12-09 19:35:16,India,Bengaluru,www.amazon.com,64375,N,Insufficient Funds
122,101,Trinity,296,Skirts,Clothing,Card,6,2061,2021-09-09 13:41:47,UK,London,www.flipkart.com,36138,N,Invalid CVV
123,189,Joe Smith,249,Glue Stick,Stationery,UPI,33,1559,2021-02-19 05:25:27,UK,London,www.ebay.in,80253,Y,None
124,102,Joe Smith,281,VR Headset,Electronics,Internet Banking,47,1100,2021-06-09 01:47:41,Australia,Brisbane,www.amazon.com,37023,N,Invalid CVV
125,109,Neo,274,File Folder,Stationery,Card,19,7307,2021-09-28 00:44:45,USA,Chicago,www.flipkart.com,23730,Y,None
126,138,John Smith,269,Smartphone,Electronics,Wallet,14,4181,2021-08-25 00:49:13,UK,Oxford,www.amazon.com,20231,Y,None
127,104,Trinity,269,Fantasy,Books,Card,14,7151,2021-10-01 22:54:19,Germany,Berlin,www.ebay.in,41123,Y,None
128,197,Neo,271,T-Shirts,Clothing,Wallet,40,1865,2021-07-05 04:27:06,Australia,Brisbane,www.amazon.com,57365,N,Timeout
129,114,John Smith,271,VR Headset,Electronics,Wallet,37,6601,2021-03-24 21:57:21,Germany,Berlin,www.flipkart.com,38112,Y,None
130,195,Neo,217,Tape,Stationery,Invalid,5,4780,2021-02-23 05:44:05,India,Indore,www.tatacliq.com,34527,N,Insufficient Funds
131,106,John Smith,220,Calculator,Stationery,Wallet,49,6185,2021-03-04 16:28:08,India,Indore,www.flipkart.com,60779,Y,None
132,133,Unknown Customer,232,Highlighters,Stationery,Card,28,8939,2021-08-28 15:33:30,UK,London,www.flipkart.com,35469,N,Invalid CVV
133,194,John Smith,255,Blender,Home & Kitchen,Internet Banking,21,782,2021-01-19 21:08:47,USA,New York,www.ebay.in,44806,N,Timeout
134,174,John Smith,249,Coats,Clothing,UPI,16,2746,2021-09-17 09:24:19,Germany,Munich,www.ebay.in,46765,Y,None
135,198,Mary Jane,293,Camera,Electronics,UPI,37,5170,2021-12-07 23:08:43,Australia,Sydney,www.tatacliq.com,42843,N,Timeout
136,137,Joe Smith,286,Historical Fiction,Books,UPI,43,3090,2021-08-02 15:47:05,UK,Oxford,www.ebay.in,81561,Y,None
137,132,Trinity,284,Food Storage Containers,Home & Kitchen,Card,26,5823,2021-07-29 06:05:47,USA,Chicago,www.amazon.com,19845,Y,None
138,177,Mary Jane,243,Sportswear,Clothing,Internet Banking,29,2806,2021-06-28 22:18:01,Germany,Munich,www.amazon.com,49056,Y,None
139,152,Joe Smith,295,Cookware,Home & Kitchen,Wallet,7,9040,2021-10-05 04:35:30,Germany,Munich,www.tatacliq.com,57973,Y,None
140,189,John Smith,216,Whiteboard Markers,Stationery,Card,23,2107,2021-04-21 06:20:56,Germany,Berlin,www.ebay.in,46325,N,Timeout
141,147,Neo,228,File Folder,Stationery,Internet Banking,48,7908,2021-12-05 23:52:23,Australia,Sydney,www.tatacliq.com,84985,N,Insufficient Funds
142,121,Trinity,262,Classics,Books,Invalid,14,1663,2021-09-12 03:42:47,Australia,Brisbane,www.ebay.in,65242,N,Invalid CVV
143,114,Trinity,260,File Folder,Stationery,Wallet,35,2612,2021-01-26 19:10:08,UK,London,www.flipkart.com,38524,Y,None
144,150,Trinity,235,Paper Cutter,Stationery,UPI,38,9755,2021-02-19 12:36:11,India,Mumbai,www.ebay.in,91887,N,Timeout
145,144,John Smith,261,Pens,Stationery,UPI,10,5415,2021-01-19 07:39:18,USA,Boston,www.flipkart.com,90375,Y,None
146,172,Trinity,226,Toaster,Home & Kitchen,Internet Banking,33,7590,2021-10-03 12:17:46,India,Indore,www.flipkart.com,79124,Y,None
147,106,Mary Jane,213,Classics,Books,UPI,38,8247,2021-07-29 15:31:41,Australia,Melbourne,www.tatacliq.com,29190,N,Insufficient Funds
148,181,Trinity,274,Pencils,Stationery,Wallet,45,3351,2021-10-31 06:31:20,USA,New York,www.flipkart.com,70700,N,Timeout
149,119,Joe Smith,254,Bluetooth Speaker,Electronics,UPI,2,4406,2021-04-09 08:52:33,Australia,Melbourne,www.amazon.com,80706,N,Invalid CVV
150,179,Neo,219,Blouses,Clothing,Card,11,5323,2021-01-23 13:55:21,Germany,Hamburg,www.tatacliq.com,15968,N,Invalid CVV
151,121,Neo,241,Sportswear,Clothing,Wallet,12,4784,2021-08-12 16:18:56,India,Bengaluru,www.ebay.in,32407,Y,None
152,173,John Smith,204,Camera,Electronics,Wallet,16,9320,2021-12-15 21:29:50,Germany,Berlin,www.ebay.in,49656,N,Timeout
153,155,Joe Smith,241,Kitchen Towels,Home & Kitchen,Card,3,452737,2021-04-13 13:33:40,UK,London,www.ebay.in,99967,N,Insufficient Funds
154,198,Mary Jane,286,Spatulas,Home & Kitchen,Card,21,469292,2021-10-07 02:29:16,Australia,Melbourne,www.amazon.com,53452,N,Insufficient Funds
155,134,Mary Jane,288,Eraser,Stationery,Wallet,9,701,2021-06-05 10:44:44,India,Bengaluru,www.ebay.in,60154,Y,None
156,149,Mary Jane,274,Jackets,Clothing,Wallet,42,7189,2021-07-13 23:05:29,Australia,Melbourne,www.ebay.in,30431,N,Invalid CVV
157,137,Mary Jane,242,Mugs,Home & Kitchen,Wallet,32,9197,2021-12-22 01:57:14,Germany,Munich,www.flipkart.com,72751,N,Invalid CVV
158,199,Neo,235,Monitor,Electronics,Internet Banking,17,892,2021-11-06 10:17:24,Australia,Sydney,www.amazon.com,28438,N,Insufficient Funds
159,137,Neo,271,Horror,Books,Card,41,6398,2021-04-24 22:11:42,USA,Boston,www.ebay.in,40511,N,Invalid CVV
160,138,Unknown Customer,282,Poetry,Books,UPI,22,8428,2021-08-29 12:33:07,Germany,Munich,www.flipkart.com,83712,Y,None
161,192,Neo,298,Dish Rack,Home & Kitchen,UPI,7,9113,2021-05-17 07:38:25,UK,London,www.flipkart.com,60581,N,Timeout
162,139,John Smith,207,Young Adult,Books,UPI,11,2044,2021-01-19 03:50:06,USA,Chicago,www.amazon.com,41484,N,Timeout
163,109,Neo,254,Oven Mitts,Home & Kitchen,UPI,12,1401,2021-02-07 13:42:01,Germany,Hamburg,www.ebay.in,21890,Y,None
164,199,John Smith,223,Paper Cutter,Stationery,Internet Banking,4,4614,2021-05-26 13:48:54,Germany,Hamburg,www.amazon.com,12152,Y,None
165,175,Mary Jane,293,Skirts,Clothing,Internet Banking,31,4106,2021-01-28 19:40:20,USA,New York,www.tatacliq.com,38600,N,Insufficient Funds
166,159,Joe Smith,265,Science Fiction,Books,Card,44,331292,2021-04-17 17:16:58,UK,Manchester,www.tatacliq.com,16373,N,Timeout
167,129,Trinity,210,VR Headset,Electronics,Wallet,9,2104,2021-10-28 11:43:53,Australia,Melbourne,www.amazon.com,87711,N,Insufficient Funds
168,166,Trinity,295,Dresses,Clothing,Wallet,18,3738,2021-12-24 00:56:45,India,Bengaluru,www.flipkart.com,98557,Y,None
169,116,Mary Jane,267,Swimwear,Clothing,Card,34,2211,2021-03-12 13:36:37,Australia,Brisbane,www.ebay.in,17957,N,Insufficient Funds
170,163,Unknown Customer,254,Sweaters,Clothing,Internet Banking,15,7309,2021-05-19 22:20:49,Germany,Hamburg,www.flipkart.com,16656,Y,None
171,189,Mary Jane,286,Pencils,Stationery,Wallet,40,6072,2021-08-15 22:05:00,UK,Manchester,www.ebay.in,42403,Y,None
172,104,Neo,208,Whiteboard Markers,Stationery,Wallet,3,6268,2021-10-06 11:29:22,Germany,Hamburg,www.amazon.com,13095,N,Insufficient Funds
173,143,Mary Jane,274,Camera,Electronics,Card,16,2541,2021-02-28 07:10:49,UK,London,www.ebay.in,67555,N,Insufficient Funds
174,163,Trinity,277,Camera,Electronics,UPI,49,3504,2021-03-19 10:11:47,USA,New York,www.ebay.in,72538,N,Insufficient Funds
175,106,Joe Smith,253,Binder,Stationery,Internet Banking,48,3929,2021-08-08 15:56:26,USA,Chicago,www.amazon.com,19297,Y,None
176,171,Trinity,228,Food Storage Containers,Home & Kitchen,Card,49,9372,2021-08-08 14:11:23,USA,Chicago,www.tatacliq.com,29436,Y,None
177,148,Joe Smith,215,Textbooks,Books,Internet Banking,20,4017,2021-02-19 22:15:50,UK,London,www.tatacliq.com,17903,Y,None
178,107,Neo,266,Monitor,Electronics,Internet Banking,3,9432,2021-11-25 11:38:01,Germany,Berlin,www.flipkart.com,95882,N,Insufficient Funds
179,149,Joe Smith,270,Swimwear,Clothing,Internet Banking,2,6572,2021-09-02 09:48:46,Australia,Sydney,www.amazon.com,17635,N,Invalid CVV
180,184,Trinity,226,Hats,Clothing,Wallet,19,1969,2021-11-13 05:52:47,India,Indore,www.ebay.in,63086,Y,None
181,181,John Smith,202,Pencil Sharpener,Stationery,Invalid,39,3971,2021-01-02 20:14:00,India,Bengaluru,www.flipkart.com,24720,Y,None
182,124,Neo,258,Sportswear,Clothing,Internet Banking,34,5990,2021-09-26 07:31:02,UK,Manchester,www.flipkart.com,68366,N,Timeout
183,154,John Smith,293,Blender,Home & Kitchen,Wallet,14,8384,2021-01-02 23:08:47,Germany,Munich,www.ebay.in,52456,N,Timeout
184,101,Neo,249,Food Storage Containers,Home & Kitchen,Wallet,46,2047,2021-09-19 08:55:08,Germany,Hamburg,www.ebay.in,60559,Y,None
185,185,John Smith,287,Biography,Books,Wallet,40,7456,2021-03-22 11:15:27,UK,London,www.tatacliq.com,99957,Y,None
186,135,John Smith,250,Headphones,Electronics,Internet Banking,26,1475,2021-12-28 14:06:13,USA,Boston,www.amazon.com,71970,Y,None
187,128,Trinity,253,Science Fiction,Books,UPI,3,2439,2021-04-20 14:14:43,UK,London,www.flipkart.com,99736,N,Timeout
188,126,John Smith,271,External Hard Drive,Electronics,UPI,25,5556,2021-07-16 11:56:31,Australia,Melbourne,www.tatacliq.com,28159,N,Invalid CVV
189,127,Neo,219,T-Shirts,Clothing,UPI,7,1862,2021-12-15 03:19:46,Germany,Hamburg,www.flipkart.com,77138,N,Invalid CVV
190,131,Trinity,271,Smartwatch,Electronics,Internet Banking,40,3892,2021-03-04 08:15:18,UK,Manchester,www.tatacliq.com,19255,N,Timeout
